KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,»esk· n·rodnÌ fronta,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
598011,Baöka,3 093,2 065,2 053,"8,52 %","0,04 %","0,04 %","6,03 %","0,04 %","2,38 %","9,35 %","1,02 %","0,58 %","1,02 %","0,04 %","0,00 %","10,52 %","0,00 %","0,00 %","2,14 %","32,39 %","0,09 %","0,43 %","9,44 %","0,04 %","0,77 %","0,34 %","0,14 %","14,27 %","0,24 %"
598020,BÌl·,285,178,178,"10,67 %","0,00 %","0,00 %","7,86 %","0,00 %","5,61 %","11,79 %","1,68 %","0,56 %","0,00 %","0,56 %","0,00 %","6,74 %","0,56 %","0,00 %","1,68 %","29,21 %","0,00 %","0,00 %","8,42 %","0,00 %","1,68 %","0,00 %","0,00 %","12,92 %","0,00 %"
511633,Bocanovice,358,197,197,"10,15 %","0,00 %","0,00 %","16,24 %","0,00 %","1,52 %","6,59 %","1,52 %","0,50 %","0,00 %","0,00 %","0,00 %","9,13 %","0,00 %","0,50 %","0,50 %","22,84 %","0,00 %","0,00 %","21,82 %","0,00 %","0,00 %","0,00 %","0,00 %","8,62 %","0,00 %"
598038,Bruöperk,3 199,2 180,2 158,"9,77 %","0,13 %","0,00 %","8,48 %","0,00 %","2,45 %","9,45 %","1,15 %","0,78 %","1,39 %","0,13 %","0,04 %","7,92 %","0,00 %","0,09 %","2,82 %","35,54 %","0,13 %","0,13 %","6,71 %","0,00 %","1,01 %","0,23 %","0,00 %","11,16 %","0,37 %"
598046,Bruzovice,708,441,440,"7,04 %","0,22 %","0,00 %","7,95 %","0,22 %","3,63 %","8,63 %","0,90 %","0,22 %","0,90 %","0,00 %","0,00 %","6,81 %","0,00 %","0,00 %","2,50 %","31,59 %","0,00 %","0,22 %","10,22 %","0,00 %","0,68 %","0,22 %","0,45 %","17,04 %","0,45 %"
511935,Bukovec,1 052,628,626,"4,95 %","0,00 %","0,00 %","8,14 %","0,00 %","10,70 %","2,55 %","0,15 %","0,47 %","0,15 %","0,00 %","0,00 %","7,34 %","0,00 %","0,15 %","1,91 %","19,32 %","0,00 %","0,00 %","31,94 %","0,15 %","0,00 %","0,47 %","0,31 %","11,18 %","0,00 %"
598062,Byst¯ice,4 179,2 416,2 394,"7,18 %","0,16 %","0,00 %","13,11 %","0,04 %","2,67 %","5,17 %","1,00 %","0,45 %","1,54 %","0,04 %","0,00 %","8,73 %","0,04 %","0,04 %","2,88 %","31,49 %","0,04 %","0,16 %","11,52 %","0,00 %","0,83 %","0,12 %","0,04 %","12,23 %","0,41 %"
598071,»eladn·,2 378,1 638,1 626,"10,63 %","0,12 %","0,06 %","6,64 %","0,18 %","3,69 %","6,94 %","1,41 %","0,79 %","1,59 %","0,00 %","0,12 %","8,61 %","0,00 %","0,00 %","3,99 %","27,18 %","6,21 %","0,06 %","7,50 %","0,00 %","0,86 %","0,24 %","0,00 %","12,66 %","0,43 %"
598089,Dobr·,2 515,1 761,1 747,"8,58 %","0,11 %","0,00 %","8,35 %","0,05 %","1,65 %","7,72 %","1,03 %","0,57 %","1,03 %","0,17 %","0,05 %","7,84 %","0,00 %","0,00 %","1,77 %","35,20 %","0,00 %","0,05 %","11,44 %","0,00 %","0,62 %","0,11 %","0,17 %","13,10 %","0,28 %"
552542,Dobratice,991,678,674,"8,45 %","0,00 %","0,14 %","7,12 %","0,89 %","2,96 %","6,82 %","1,78 %","0,29 %","2,52 %","0,00 %","0,14 %","12,46 %","0,00 %","0,14 %","1,63 %","30,11 %","0,14 %","0,14 %","10,23 %","0,00 %","0,89 %","0,44 %","0,29 %","12,31 %","0,00 %"
598101,DolnÌ Domaslavice,1 070,618,614,"10,91 %","0,16 %","0,00 %","5,04 %","0,00 %","1,79 %","8,79 %","1,62 %","0,16 %","1,79 %","0,00 %","0,16 %","8,63 %","0,00 %","0,16 %","1,14 %","31,75 %","0,16 %","0,00 %","8,46 %","0,16 %","0,65 %","0,16 %","0,16 %","17,91 %","0,16 %"
511951,DolnÌ Lomn·,725,381,378,"7,67 %","0,26 %","0,26 %","11,37 %","0,00 %","3,70 %","3,17 %","0,52 %","0,79 %","1,58 %","0,00 %","0,26 %","5,02 %","0,00 %","0,00 %","0,52 %","28,83 %","0,00 %","0,00 %","19,31 %","0,00 %","0,79 %","0,00 %","0,52 %","14,81 %","0,52 %"
552607,DolnÌ Toöanovice,280,174,174,"2,87 %","0,00 %","0,00 %","10,34 %","0,57 %","3,44 %","5,17 %","1,72 %","3,44 %","1,72 %","0,57 %","0,00 %","6,32 %","0,00 %","0,00 %","2,29 %","25,28 %","0,00 %","1,14 %","14,36 %","0,00 %","0,57 %","0,00 %","0,57 %","19,54 %","0,00 %"
